Country,Region,Year,BirthRate,DeathRate,FertilityRate,LifeExpectancyFemale,LifeExpectancyMale,LifeExpectancyTotal,PopulationGrowth,PopulationTotal,MobileCellularSubscriptions,MobileCellularSubscriptionsPerHundred,TelephoneLines,TelephoneLinesPerHundred,AgriculturalLand,AgriculturalLandPercent,ArableLand,ArableLandPercent,LandArea,RuralPopulation,RuralPopulationGrowth,SurfaceArea,PopulationDensity,UrbanPopulationPercent,UrbanPopulationPercentGrowth
Argentina,SouthAmerica,1980,25.014,8.762,3.368,72.718,65.897,69.22431707,1.484972011,27701412,0,0,1797000,6.487033946,1281460,46.82517932,0.938580315,9.50052801,2736690,4843315,-0.648357192,2780400,10.12223233,82.516,1.942897921
Argentina,SouthAmerica,1981,24.627,8.685,3.325,73.022,66.174,69.5144878,1.500248116,28120135,0,0,1879000,6.682044734,1280200,46.7791383,0.92460438,9.50052801,2736690,4812199,-0.644525143,2780400,10.27523578,82.887,1.948849438
Argentina,SouthAmerica,1982,24.14,8.609,3.27,73.308,66.433,69.78665854,1.517537654,28550123,0,0,2199000,7.702243524,1278940,46.73309728,0.910679089,9.50052801,2736690,4764159,-1.003312595,2780400,10.43235551,83.313,2.030175537
Argentina,SouthAmerica,1983,23.635,8.542,3.213,73.571,66.668,70.03531707,1.525758357,28989069,0,0,2361350,8.145656558,1287690,47.05282659,0.931385551,9.865932934,2736690,4708115,-1.183341064,2780400,10.59274854,83.759,2.059659821
Argentina,SouthAmerica,1984,23.18,8.488,3.163,73.806,66.877,70.257,1.527933965,29435404,0,0,2271525,7.716982583,1286440,47.00715097,0.917262763,9.865932934,2736690,4652560,-1.187000986,2780400,10.75584155,84.194,2.045938257
Argentina,SouthAmerica,1985,22.805,8.45,3.123,74.016,67.062,70.45419512,1.521084731,29886564,0,0,2599607,8.698246476,1285170,46.96074455,0.903415997,9.865932934,2736690,4596255,-1.217576427,2780400,10.92069763,84.621,2.026963928
Argentina,SouthAmerica,1986,22.525,8.423,3.093,74.206,67.227,70.63139024,1.507176912,30340419,0,0,2710894,8.934926047,1283910,46.91470353,0.889902015,9.865932934,2736690,4539533,-1.241769815,2780400,11.08653848,85.038,1.998755355
Argentina,SouthAmerica,1987,22.329,8.403,3.073,74.387,67.382,70.79907317,1.491964623,30796481,0,0,2859209,9.284206855,1282650,46.86866251,0.876723545,9.865932934,2736690,4482428,-1.265927942,2780400,11.25318578,85.445,1.969429866
Argentina,SouthAmerica,1988,22.178,8.382,3.056,74.569,67.538,70.9677561,1.476530327,31254574,0,0,2965970,9.489715009,1279390,46.7495405,0.857474493,9.792851949,2736690,4424710,-1.296012431,2780400,11.42057522,85.843,1.941246439
Argentina,SouthAmerica,1989,22.035,8.355,3.037,74.762,67.702,71.14590244,1.45655933,31713147,0,0,3175756,10.0140046,1273800,46.54527915,0.831421744,9.634631617,2736690,4365949,-1.33691627,2780400,11.58814005,86.233,1.909847842
Argentina,SouthAmerica,1990,21.886,8.318,3.016,74.969,67.879,71.33753659,1.431566594,32170407,2300,0.007149428,3084000,9.586450056,1274700,46.57816559,0.822805879,9.672268324,2736690,4306652,-1.367477278,2780400,11.75522511,86.613,1.871266642
Argentina,SouthAmerica,1991,21.72,8.271,2.989,75.191,68.07,71.54365854,1.402801086,32624874,12000,0.036781751,3026732,9.277375293,1275650,46.61287906,0.814562533,9.710635841,2736690,4246454,-1.407652238,2780400,11.92128959,86.984,1.830225686
Argentina,SouthAmerica,1992,21.527,8.216,2.956,75.426,68.275,71.76329268,1.370857187,33075194,25000,0.075585347,3131235,9.467019302,1276600,46.64759253,0.806646818,9.749003358,2736690,4191289,-1.307595787,2780400,12.08583873,87.328,1.765552239
Argentina,SouthAmerica,1993,21.31,8.155,2.918,75.666,68.487,71.98895122,1.338265573,33520803,46590,0.138988317,3594533,10.72329025,1277550,46.682306,0.799056037,9.787370875,2736690,4176022,-0.364920509,2780400,12.24866645,87.542,1.583019148
Argentina,SouthAmerica,1994,21.067,8.093,2.875,75.905,68.702,72.21565854,1.307446078,33961947,112000,0.329780857,3982435,11.72616811,1278500,46.71701947,0.791768505,9.825738392,2736690,4159659,-0.392601901,2780400,12.40986264,87.752,1.547045805
Argentina,SouthAmerica,1995,20.8,8.032,2.827,76.142,68.917,72.44139024,1.27967734,34399343,241163,0.701068622,4986887,14.49704141,1279480,46.75282915,0.784840571,9.865202124,2736690,4141681,-0.433135569,2780400,12.5696893,87.96,1.516427257
Argentina,SouthAmerica,1996,20.503,7.976,2.774,76.377,69.129,72.66460976,1.253257095,34833168,405395,1.163818921,5714158,16.4043592,1280450,46.78827343,0.778137665,9.904300451,2736690,4122854,-0.455610208,2780400,12.72821109,88.164,1.484911742
Argentina,SouthAmerica,1997,20.176,7.927,2.717,76.61,69.338,72.88531707,1.229456224,35264070,667020,1.891500329,6262637,17.75925751,1281420,46.8237177,0.771663622,9.943398777,2736690,4102622,-0.491936048,2780400,12.8856648,88.366,1.458313067
Argentina,SouthAmerica,1998,19.827,7.886,2.657,76.843,69.543,73.10397561,1.202773753,35690778,2009073,5.62910957,6826799,19.12762731,1282350,46.85770036,0.765463841,9.982862509,2736690,4081597,-0.513794811,2780400,13.041586,88.564,1.426592661
Argentina,SouthAmerica,1999,19.465,7.854,2.596,77.076,69.743,73.32007317,1.165927694,36109342,2670862,7.396595596,7095464,19.6499399,1283300,46.89241383,0.759498747,10.02123003,2736690,4059051,-0.553913095,2780400,13.19453135,88.759,1.385864652
Argentina,SouthAmerica,2000,19.103,7.83,2.535,77.309,69.939,73.53412195,1.115941736,36514558,3848869,10.54064245,7223168,19.78161149,1284120,46.92237703,0.754000637,10.06032835,2736690,4034128,-0.615903313,2780400,13.34259927,88.952,1.333149123
Argentina,SouthAmerica,2001,18.757,7.813,2.477,77.54,70.132,73.74565854,1.058363374,36903067,6487950,17.58105905,7894205,21.39173148,1285100,46.95818671,0.748989237,10.09979208,2736690,4006935,-0.676355941,2780400,13.48456237,89.142,1.271732835
Argentina,SouthAmerica,2002,18.445,7.801,2.424,77.768,70.321,73.95368293,0.998422507,37273361,6741791,18.08742442,8131435,21.8156742,1286060,46.99326559,0.744392222,10.13852501,2736690,3977440,-0.738821365,2780400,13.61986962,89.329,1.207981452
Argentina,SouthAmerica,2003,18.177,7.792,2.379,77.99,70.51,74.15878049,0.945747278,37627545,6566740,17.4519491,7708568,20.48650264,1287100,47.0312677,0.740468186,10.18091198,2736690,3943743,-0.850812392,2780400,13.7492902,89.519,1.1582172
Argentina,SouthAmerica,2004,17.958,7.783,2.34,78.205,70.698,74.35995122,0.907083654,37970411,7842233,20.6535373,8603869,22.65940445,1308835,47.8254753,0.755417159,10.48109212,2736690,3907155,-0.932078468,2780400,13.87457513,89.71,1.120219768
Argentina,SouthAmerica,2005,17.788,7.774,2.31,78.412,70.887,74.55773171,0.887188811,38308779,13512383,35.27228837,8760566,22.86829867,1343450,49.09032444,0.803340665,11.24533652,2736690,3869570,-0.966609791,2780400,13.99821646,89.899,1.097644514
Argentina,SouthAmerica,2006,17.66,7.763,2.286,78.609,71.078,74.75165854,0.881216293,38647854,22156426,57.32899426,9441673,24.43000587,1377975,50.35188494,0.851211558,12.02090847,2736690,3832321,-0.967276489,2780400,14.12211613,90.084,1.086792595
Argentina,SouthAmerica,2007,17.564,7.753,2.268,78.796,71.27,74.94121951,0.878633059,38988923,31510390,80.81882641,9459794,24.2627733,1411040,51.56009632,0.893946211,12.7358232,2736690,3795182,-0.973825733,2780400,14.24674442,90.266,1.080461652
Argentina,SouthAmerica,2008,17.481,7.744,2.254,78.974,71.463,75.12690244,0.874450863,39331357,40401771,102.7215283,9500000,24.153756,1440330,52.63036734,0.926309255,13.31279758,2736690,3758111,-0.981592999,2780400,14.37187149,90.445,1.072558418
Argentina,SouthAmerica,2009,17.396,7.738,2.241,79.143,71.656,75.30819512,0.872647405,39676083,46508774,117.2211834,9742833,24.55593462,1440580,52.63950246,0.88360537,12.81036581,2736690,3720823,-0.997155717,2780400,14.49783607,90.622,1.068154932
Argentina,SouthAmerica,2010,17.301,7.732,2.228,79.305,71.851,75.48709756,0.87217417,40023641,52482780,131.1294492,9768135,24.405913,1432970,52.36142932,0.844425923,12.3495902,2736690,3684176,-0.989798896,2780400,14.62483548,90.795,1.0628953
Argentina,SouthAmerica,2011,17.188,7.728,2.215,79.462,72.046,75.66356098,0.872125702,40374224,57082298,141.383022,9914208,24.55578589,1467170,53.61111416,0.921800999,13.59927504,2736690,3647407,-1.003038724,2780400,14.75294023,90.966,1.060285588
Argentina,SouthAmerica,2012,17.057,7.724,2.201,79.614,72.243,75.83860976,0.87423751,40728738,60722729,149.0906224,9722525,23.87141237,1475480,53.91476565,0.934180676,13.90292653,2736690,3611417,-0.991628807,2780400,14.88248139,91.133,1.057653731
Argentina,SouthAmerica,2013,16.911,7.72,2.188,79.764,72.44,76.01268293,0.87560564,41086927,64327647,156.564756,9455639,23.01374109,1487910,54.36896397,0.956289576,14.35712485,2736690,3576617,-0.968283453,2780400,15.01336542,91.295,1.053209455
Bolivia,SouthAmerica,1980,40.205,15.119,5.634,53.277,49.202,51.18980488,2.357244375,5243771,0,0,4795369.5,12.76504237,335250,30.94710606,0.364241688,1.763131173,1083300,2913282,0.571537234,1098580,4.84055294,44.443,4.635311181
Bolivia,SouthAmerica,1981,39.616,14.544,5.521,54.029,50.006,51.96843902,2.358233609,5368901,0,0,135100,2.516343661,335620,30.98126096,0.361899018,1.793593649,1083300,2928682,0.527221177,1098580,4.95606111,45.451,4.600967257
Bolivia,SouthAmerica,1982,39.129,14.005,5.423,54.775,50.808,52.74312195,2.359963134,5497112,0,0,142000,2.583174583,340990,31.47696852,0.360189132,1.827748546,1083300,2943209,0.494799023,1098580,5.074413367,46.459,4.553498787
Bolivia,SouthAmerica,1983,38.714,13.498,5.337,55.509,51.603,53.50836585,2.359292994,5628347,0,0,148100,2.631323193,341360,31.51112342,0.358542215,1.862826549,1083300,2956458,0.449144749,1098580,5.195557094,47.472,4.516293565
Bolivia,SouthAmerica,1984,38.345,13.019,5.259,56.225,52.389,54.26021951,2.358563621,5762673,0,0,150000,2.602958731,341730,31.54527832,0.355911224,1.893289024,1083300,2968583,0.40928044,1098580,5.31955414,48.486,4.47207593
Bolivia,SouthAmerica,1985,38.012,12.572,5.189,56.915,53.156,54.98965854,2.357244654,5900127,0,0,157719,2.673145849,347170,32.04744761,0.354738127,1.932059448,1083300,2979328,0.361303714,1098580,5.44643866,49.504,4.435073679
Bolivia,SouthAmerica,1986,37.715,12.156,5.127,57.577,53.897,55.69212195,2.355545912,6040757,0,0,158746,2.627915673,346870,32.01975445,0.339361441,1.892365919,1083300,2989027,0.325014465,1098580,5.576254962,50.519,4.385143394
Bolivia,SouthAmerica,1987,37.461,11.771,5.074,58.211,54.607,56.36504878,2.350712489,6184440,0,0,159774,2.583483711,352030,32.4960768,0.333094023,1.901596972,1083300,2997289,0.276029707,1098580,5.708889504,51.535,4.341877136
Bolivia,SouthAmerica,1988,37.244,11.415,5.029,58.822,55.285,57.01036585,2.345633254,6331219,0,0,164248,2.594255545,352270,32.51823133,0.326951255,1.910828025,1083300,3004227,0.231208351,1098580,5.844381981,52.549,4.294117817
Bolivia,SouthAmerica,1989,37.053,11.084,4.989,59.414,55.93,57.6295122,2.345346383,6481463,0,0,165296,2.550288415,352500,32.53946275,0.320915201,1.920059079,1083300,3009797,0.185233767,1098580,5.983073018,53.563,4.256600155
Bolivia,SouthAmerica,1990,36.867,10.775,4.952,59.986,56.537,58.21943902,2.351157744,6635658,0,0,169932,2.560891475,354700,32.74254592,0.314964997,1.929290132,1083300,3014513,0.15656568,1098580,6.125411243,54.571,4.215568015
Bolivia,SouthAmerica,1991,36.652,10.486,4.913,60.539,57.102,58.77858537,2.358880647,6794046,0,0,182686,2.688913204,354550,32.72869934,0.309094169,1.938521185,1083300,3018119,0.119549823,1098580,6.27162005,55.577,4.18556413
Bolivia,SouthAmerica,1992,36.372,10.217,4.866,61.07,57.619,59.30241463,2.366375843,6956736,295,0.004240494,204059,2.933257781,357960,33.04347826,0.303303158,1.947752239,1083300,3020684,0.084950615,1098580,6.421800055,56.579,4.153227502
